gene_nombre;fact_fecha;cpro_nombre;defa_cantidad_ent;defa_valor_uni;total_ent;ceco_nombre;capr_nombre;unid_nombre
GOVEA NAVARRETE GLORIA GUADALUPE;2/5/2017;Yellow Fin + 20;0.000;2300.000;0.000;B/P GINO D - DIR;PESCADO CAPTURADO YELLOW FIN;Toneladas
MEDRANDA POVEDA NANCY MERCEDES;5/5/2017;Yellow Fin + 20;0.000;2300.000;0.000;B/P GINO D - DIR;PESCADO CAPTURADO YELLOW FIN;Toneladas
MEDRANDA POVEDA NANCY MERCEDES;5/5/2017;Yellow Fin + 20;0.000;2300.000;0.000;B/P ALDO - DIR;PESCADO CAPTURADO YELLOW FIN;Toneladas
GOVEA NAVARRETE GLORIA GUADALUPE;5/5/2017;Yellow Fin + 20;0.000;2300.000;0.000;B/P GINO D - DIR;PESCADO CAPTURADO YELLOW FIN;Toneladas
FALCONES ARIAS FREDD WILLIAM;8/5/2017;Yellow Fin + 20;0.000;2300.000;0.000;B/P GINO D - DIR;PESCADO CAPTURADO YELLOW FIN;Toneladas
FRANCO LUNA NESTOR GUALBERTO;8/5/2017;Yellow Fin + 20;0.000;2280.000;0.000;B/P ALDO - DIR;PESCADO CAPTURADO YELLOW FIN;Toneladas
FRANCO LUNA NESTOR GUALBERTO;8/5/2017;Yellow Fin + 20;0.000;2280.000;0.000;B/P ALDO - DIR;PESCADO CAPTURADO YELLOW FIN;Toneladas
MARBELIZE S.A.;12/5/2017;Skip Jack  -3;0.000;1180.000;0.000;B/P LUCIA T - DIR;PESCADO CAPTURADO SKIP JACK;Toneladas
MARBELIZE S.A.;12/5/2017;Skip Jack  3 - 4;0.000;1380.000;0.000;B/P LUCIA T - DIR;PESCADO CAPTURADO SKIP JACK;Toneladas
MARBELIZE S.A.;12/5/2017;Skip Jack  4 - 7.5;0.000;1580.000;0.000;B/P LUCIA T - DIR;PESCADO CAPTURADO SKIP JACK;Toneladas
MARBELIZE S.A.;12/5/2017;Skip Jack  7.5 - 20;0.000;1630.000;0.000;B/P LUCIA T - DIR;PESCADO CAPTURADO SKIP JACK;Toneladas
MARBELIZE S.A.;12/5/2017;Skip Jack  7.5 - 20;0.000;1630.000;0.000;B/P LUCIA T - DIR;PESCADO CAPTURADO SKIP JACK;Toneladas
MARBELIZE S.A.;12/5/2017;Skip Jack  7.5 - 20;0.000;1630.000;0.000;B/P LUCIA T - DIR;PESCADO CAPTURADO SKIP JACK;Toneladas
MARBELIZE S.A.;12/5/2017;Yellow Fin -3;0.000;1180.000;0.000;B/P LUCIA T - DIR;PESCADO CAPTURADO YELLOW FIN;Toneladas
MARBELIZE S.A.;12/5/2017;Yellow Fin  4 - 7.5;0.000;1580.000;0.000;B/P LUCIA T - DIR;PESCADO CAPTURADO YELLOW FIN;Toneladas
MARBELIZE S.A.;12/5/2017;Yellow Fin 7.5 - 20;0.000;1780.000;0.000;B/P LUCIA T - DIR;PESCADO CAPTURADO YELLOW FIN;Toneladas
MARBELIZE S.A.;12/5/2017;Yellow Fin 7.5 - 20;0.000;1780.000;0.000;B/P LUCIA T - DIR;PESCADO CAPTURADO YELLOW FIN;Toneladas
MARBELIZE S.A.;12/5/2017;Yellow Fin 7.5 - 20;0.000;1780.000;0.000;B/P LUCIA T - DIR;PESCADO CAPTURADO YELLOW FIN;Toneladas
MARBELIZE S.A.;12/5/2017;Yellow Fin 7.5 - 20;0.000;1780.000;0.000;B/P LUCIA T - DIR;PESCADO CAPTURADO YELLOW FIN;Toneladas
GALAPESCA S.A;16/5/2017;Yellow Fin -3;0.000;1150.000;0.000;B/P ALDO - DIR;PESCADO CAPTURADO YELLOW FIN;Toneladas
GALAPESCA S.A;16/5/2017;Yellow Fin  3 - 4;0.000;1400.000;0.000;B/P ALDO - DIR;PESCADO CAPTURADO YELLOW FIN;Toneladas
GALAPESCA S.A;16/5/2017;Yellow Fin  4 - 7.5;0.000;1550.000;0.000;B/P ALDO - DIR;PESCADO CAPTURADO YELLOW FIN;Toneladas
GALAPESCA S.A;16/5/2017;Skip Jack  -3;0.000;1150.000;0.000;B/P ALDO - DIR;PESCADO CAPTURADO SKIP JACK;Toneladas
GALAPESCA S.A;16/5/2017;Skip Jack  3 - 4;0.000;1400.000;0.000;B/P ALDO - DIR;PESCADO CAPTURADO SKIP JACK;Toneladas
GALAPESCA S.A;16/5/2017;Skip Jack  4 - 7.5;0.000;1600.000;0.000;B/P ALDO - DIR;PESCADO CAPTURADO SKIP JACK;Toneladas
GALAPESCA S.A;16/5/2017;Skip Jack  7.5 - 20;0.000;1650.000;0.000;B/P ALDO - DIR;PESCADO CAPTURADO SKIP JACK;Toneladas
GALAPESCA S.A;16/5/2017;Yellow Fin  4 - 7.5;0.000;1600.000;0.000;B/P ALDO - DIR;PESCADO CAPTURADO YELLOW FIN;Toneladas
GALAPESCA S.A;16/5/2017;Yellow Fin 7.5 - 20;0.000;1660.000;0.000;B/P ALDO - DIR;PESCADO CAPTURADO YELLOW FIN;Toneladas
GALAPESCA S.A;16/5/2017;Skip Jack  -3;0.000;1200.000;0.000;B/P ALDO - DIR;PESCADO CAPTURADO SKIP JACK;Toneladas
GALAPESCA S.A;16/5/2017;Skip Jack  4 - 7.5;0.000;1550.000;0.000;B/P ALDO - DIR;PESCADO CAPTURADO SKIP JACK;Toneladas
TECNICA Y COMERCIO DE LA PESCA C.A.;17/5/2017;Yellow Fin -3;0.000;1200.000;0.000;B/P JOSELITO - DIR;PESCADO CAPTURADO YELLOW FIN;Toneladas
TECNICA Y COMERCIO DE LA PESCA C.A.;17/5/2017;Yellow Fin  3 - 4;0.000;1400.000;0.000;B/P JOSELITO - DIR;PESCADO CAPTURADO YELLOW FIN;Toneladas
TECNICA Y COMERCIO DE LA PESCA C.A.;17/5/2017;Yellow Fin  4 - 7.5;0.000;1600.000;0.000;B/P JOSELITO - DIR;PESCADO CAPTURADO YELLOW FIN;Toneladas
TECNICA Y COMERCIO DE LA PESCA C.A.;17/5/2017;Yellow Fin 7.5 - 20;0.000;1800.000;0.000;B/P JOSELITO - DIR;PESCADO CAPTURADO YELLOW FIN;Toneladas
TECNICA Y COMERCIO DE LA PESCA C.A.;17/5/2017;Yellow Fin 7.5 - 20;0.000;1800.000;0.000;B/P JOSELITO - DIR;PESCADO CAPTURADO YELLOW FIN;Toneladas
TECNICA Y COMERCIO DE LA PESCA C.A.;17/5/2017;Skip Jack  -3;0.000;1200.000;0.000;B/P JOSELITO - DIR;PESCADO CAPTURADO SKIP JACK;Toneladas
TECNICA Y COMERCIO DE LA PESCA C.A.;17/5/2017;Skip Jack  3 - 4;0.000;1400.000;0.000;B/P JOSELITO - DIR;PESCADO CAPTURADO SKIP JACK;Toneladas
TECNICA Y COMERCIO DE LA PESCA C.A.;17/5/2017;Skip Jack  4 - 7.5;0.000;1600.000;0.000;B/P JOSELITO - DIR;PESCADO CAPTURADO SKIP JACK;Toneladas
TECNICA Y COMERCIO DE LA PESCA C.A.;17/5/2017;Skip Jack  7.5 - 20;0.000;1650.000;0.000;B/P JOSELITO - DIR;PESCADO CAPTURADO SKIP JACK;Toneladas
TECNICA Y COMERCIO DE LA PESCA C.A.;17/5/2017;Skip Jack  7.5 - 20;0.000;1650.000;0.000;B/P JOSELITO - DIR;PESCADO CAPTURADO SKIP JACK;Toneladas
TECNICA Y COMERCIO DE LA PESCA C.A.;17/5/2017;Big Eye +20;0.000;1900.000;0.000;B/P JOSELITO - DIR;PESCADO CAPTURADO BIG EYE;Toneladas
MARBELIZE S.A.;24/5/2017;Skip Jack  -3;0.000;1250.000;0.000;B/P ALDO - DIR;PESCADO CAPTURADO SKIP JACK;Toneladas
MARBELIZE S.A.;24/5/2017;Skip Jack  3 - 4;0.000;1450.000;0.000;B/P ALDO - DIR;PESCADO CAPTURADO SKIP JACK;Toneladas
MARBELIZE S.A.;24/5/2017;Skip Jack  4 - 7.5;0.000;1650.000;0.000;B/P ALDO - DIR;PESCADO CAPTURADO SKIP JACK;Toneladas
MARBELIZE S.A.;24/5/2017;Skip Jack  7.5 - 20;0.000;1700.000;0.000;B/P ALDO - DIR;PESCADO CAPTURADO SKIP JACK;Toneladas
MARBELIZE S.A.;24/5/2017;Skip Jack  7.5 - 20;0.000;1700.000;0.000;B/P ALDO - DIR;PESCADO CAPTURADO SKIP JACK;Toneladas
MARBELIZE S.A.;24/5/2017;Skip Jack  7.5 - 20;0.000;1700.000;0.000;B/P ALDO - DIR;PESCADO CAPTURADO SKIP JACK;Toneladas
MARBELIZE S.A.;24/5/2017;Yellow Fin -3;0.000;1250.000;0.000;B/P ALDO - DIR;PESCADO CAPTURADO YELLOW FIN;Toneladas
